Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
18-expressive-series-freezer-column-custom-panel-ready-rvf417790,"Columna de Congelador Panelable 18"" — Serie Expressive","<p>18"" Expressive Series Freezer Column, Custom Panel Ready (Replaces RF411705, June '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 18.0""</li><li>Modelo: RVF417790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 18.0"", Moneda USD",FALSE,Title,Default Title,RVF417790,shopify,0,continue,manual,21465.13,TRUE,TRUE,draft
18-expressive-series-wine-climate-cabinet-column-custom-panel-ready-rvw417770,"Cava de Vinos en Columna Panelable 18"" — Serie Expressive","<p>18"" Expressive Series Wine Climate Cabinet Column, Custom Panel Ready (Replaces RW414765, June '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 18.0""</li><li>Modelo: RVW417770</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 18.0"", Moneda USD",FALSE,Title,Default Title,RVW417770,shopify,0,continue,manual,22991.27,TRUE,TRUE,draft
200-series-24-oven-bop250612,"Horno Empotrable Apertura Derecha 24"" — Serie 200","<p>200 Series 24"" Oven - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: BOP250612</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,BOP250612,shopify,0,continue,manual,11107.47,TRUE,TRUE,draft
200-series-24-oven-bop251612,"Horno Empotrable Apertura Izquierda 24"" — Serie 200","<p>200 Series 24"" Oven - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: BOP251612</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,BOP251612,shopify,0,continue,manual,11107.47,TRUE,TRUE,draft
200-series-24-two-door-bottom-mount-freezer-fully-integrated-home-conn-rb282705,"Refrigerador Empotrable con Congelador Bottom Mount Home Connect 24"" — Serie 200","<p>200 Series 24"" two-door bottom-mount freezer, fully integrated, Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RB282705</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RB282705,shopify,0,continue,manual,9406.62,TRUE,TRUE,draft
200-series-30-induction-cooktop-frameless-home-connect-ci282602,"Parrilla de Inducción sin Marco Home Connect 30"" — Serie 200","<p>200 Series 30"" induction cooktop, frameless, Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 30.0""</li><li>Energía: Inducción</li><li>Modelo: CI282602</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inducción, Bajo pedido, 30.0"", Moneda USD",FALSE,Title,Default Title,CI282602,shopify,0,continue,manual,7391.16,TRUE,TRUE,draft
200-series-36-induction-cooktop-frameless-home-connect-ci292602,"Parrilla de Inducción sin Marco Home Connect 36"" — Serie 200","<p>200 Series 36"" induction cooktop, frameless, Home Connect. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 36.0""</li><li>Energía: Inducción</li><li>Modelo: CI292602</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inducción, Bajo pedido, 36.0"", Moneda USD",FALSE,Title,Default Title,CI292602,shopify,0,continue,manual,8123.26,TRUE,TRUE,draft
200-series-built-in-fully-automatic-espresso-machine-tft-water-tank-to-cmp250711,Cafetera Automática Empotrable con Tanque Instalación a Ras — Serie 200,"<p>200 series built-in fully automatic espresso machine, TFT, water tank, top controls, flush - Phased out Sept '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Instalación: Empotrable</li><li>Modelo: CMP250711</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Empotrable, Bajo pedido, Moneda USD",FALSE,Title,Default Title,CMP250711,shopify,0,continue,manual,6900.99,TRUE,TRUE,draft
200-series-combi-microwave-oven-metallic-rh-controls-top-flush-design-bmp250710,Horno Combi-Microondas Apertura Derecha Instalación a Ras — Serie 200,"<p>200 series Combi-microwave oven, Gaggenau Metallic, RH, controls @ top, flush design - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: BMP250710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,BMP250710,shopify,0,continue,manual,10578.98,TRUE,TRUE,draft
200-series-combi-microwave-oven-metallic-lh-controls-top-flush-design-bmp251710,Horno Combi-Microondas Apertura Izquierda Instalación a Ras — Serie 200,"<p>200 series Combi-microwave oven, Gaggenau Metallic, LH, controls @ top, flush design - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: BMP251710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,BMP251710,shopify,0,continue,manual,10578.98,TRUE,TRUE,draft
200-series-combi-steam-oven-with-tank-metallic-left-hinged-flush-desig-bsp251610,Horno Combi-Vapor con Tanque Apertura Izquierda Instalación a Ras — Serie 200,"<p>200 series Combi-steam oven, with tank, Gaggenau Metallic, left-hinged, flush design. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: BSP251610</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,BSP251610,shopify,0,continue,manual,8813.98,TRUE,TRUE,draft
200-series-vario-12-gas-wok-burner-vg231220,"Quemador Wok de Gas 12"" — Vario Serie 200","<p>200 Series Vario 12"" gas wok burner. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 12.0""</li><li>Energía: Gas</li><li>Modelo: VG231220CA</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Gas, Bajo pedido, 12.0"", Moneda USD",FALSE,Title,Default Title,VG231220CA,shopify,0,continue,manual,4832.82,TRUE,TRUE,draft
200-series-vario-24-four-burner-gas-cooktop-vg264220,"Parrilla de Gas 4 Quemadores 24"" — Vario Serie 200","<p>200 Series Vario 24"" four burner gas cooktop. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Energía: Gas</li><li>Modelo: VG264220CA</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Gas, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,VG264220CA,shopify,0,continue,manual,6287.18,TRUE,TRUE,draft
200-series-vario-24-induction-cooktop-vi263620,"Parrilla de Inducción 24"" — Vario Serie 200","<p>200 Series Vario 24"" induction cooktop. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Energía: Inducción</li><li>Modelo: VI263620</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inducción, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,VI263620,shopify,0,continue,manual,4905.29,TRUE,TRUE,draft
200-series-warming-drawer-metallic-height-5-3-8-flush-design-wsp221710,Cajón Calientaplatos Instalación a Ras — Serie 200,"<p>200 series warming drawer, Gaggenau Metallic, height: 5 3/8"", flush design - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Modelo: WSP221710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, Moneda USD",FALSE,Title,Default Title,WSP221710,shopify,0,continue,manual,3068.99,TRUE,TRUE,draft
24-expressive-series-freezer-column-custom-panel-ready-rvf467790,"Columna de Congelador Panelable 24"" — Serie Expressive","<p>24"" Expressive Series Freezer Column, Custom Panel Ready (Replaces RF461705, June '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RVF467790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RVF467790,shopify,0,continue,manual,22991.27,TRUE,TRUE,draft
24-expressive-series-refrigeration-column-custom-panel-ready-rvc467790,"Columna de Refrigeración Panelable 24"" — Serie Expressive","<p>24"" Expressive Series Refrigeration Column, Custom Panel Ready (Replaces RC462705, June '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RVC467790</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RVC467790,shopify,0,continue,manual,25904.55,TRUE,TRUE,draft
24-expressive-series-wine-climate-cabinet-column-custom-panel-ready-rvw467770,"Cava de Vinos en Columna Panelable 24"" — Serie Expressive","<p>24"" Expressive Series Wine Climate Cabinet Column, Custom Panel Ready (Replaces RW466765, June '26). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RVW467770</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RVW467770,shopify,0,continue,manual,24520.27,TRUE,TRUE,draft
24-freezer-column-with-integrated-ice-maker-home-connect-phasing-out-c-rf461705,"Columna de Congelador con Fábrica de Hielos Home Connect 24""","<p>24"" Freezer column with integrated ice maker, Home Connect - Phasing out, check avail.(Alternate: RVF467790). Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RF461705</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RF461705,shopify,0,continue,manual,17645.5,TRUE,TRUE,draft
24-microwave-drawer-stainless-steel-mw420621,"Cajón de Microondas Acero Inoxidable 24""","<p>24"" Microwave Drawer, Stainless Steel. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Acabado: Inoxidable</li><li>Modelo: MW420621</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Inoxidable, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,MW420621,shopify,0,continue,manual,3250.17,TRUE,TRUE,draft
columna-de-refrigeracion-de-24-con-conectividad-inteligente-rc462705,"Columna de Refrigeración Home Connect 24""","<p>Columna de Refrigeración Gaggenau de 24 pulgadas con Conectividad Inteligente. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RC462705</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RC462705,shopify,0,continue,manual,19879.23,TRUE,TRUE,draft
24-speed-microwave-oven-tft-display-right-hinged-replaced-by-gm450720-bm450710,"Horno de Velocidad Apertura Derecha 24""","<p>24"" speed microwave oven, TFT display, right-hinged - Replaced by GM450720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: BM450710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,BM450710,shopify,0,continue,manual,11649.86,TRUE,TRUE,draft
24-speed-microwave-oven-tft-display-left-hinged-replaced-by-gm451720-bm451710,"Horno de Velocidad Apertura Izquierda 24""","<p>24"" speed microwave oven, TFT display, left-hinged - Replaced by GM451720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: BM451710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,BM451710,shopify,0,continue,manual,11649.86,TRUE,TRUE,draft
24-under-counter-wine-climate-cabinet-custom-panel-launching-july-26-rw204770,"Cava de Vinos Bajo Encimera Panelable 24""","<p>24"" Under Counter Wine Climate Cabinet, Custom Panel - Launching July '26. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RW204770</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RW204770,shopify,0,continue,manual,10442.41,TRUE,TRUE,draft
cava-de-vino-bajo-encimera-24-rw404761,"Cava de Vinos Bajo Encimera 24""","<p>Cava de Vino Bajo Encimera 24 Pulgadas Gaggenau. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: RW404761</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,RW404761,shopify,0,continue,manual,8913.42,TRUE,TRUE,draft
24-vacuuming-drawer-height-5-3-8-replaced-by-gv451720-dv461710,"Cajón de Vacío 24"" Altura 5 3/8""","<p>24"" vacuuming drawer, height 5 3/8"" - Replaced by GV451720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: DV461710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,DV461710,shopify,0,continue,manual,7050.47,TRUE,TRUE,draft
24-vacuuming-drawer-height-8-3-16-dv463710,"Cajón de Vacío 24"" Altura 8 3/16""","<p>24"" vacuuming drawer, height 8 3/16"" - Phased out Sep '25, check avail.. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: DV463710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,DV463710,shopify,0,continue,manual,7529.2,TRUE,TRUE,draft
24-warming-drawer-height-8-3-16-replaced-by-gw453720-ws463710,"Cajón Calientaplatos 24"" Altura 8 3/16""","<p>24"" Warming drawer, height: 8 3/16"" - Replaced by GW453720. Diseño y precisión de <strong>Gaggenau</strong> para la cocina premium.</p><ul><li>Ancho: 24.0""</li><li>Modelo: WS463710</li></ul><p><strong>HOMEA</strong> — Distribuidor autorizado Gaggenau. Asesoría de especificación y showroom en Querétaro.</p>",Gaggenau,Electrodoméstico,"Gaggenau, Premium, Bajo pedido, 24.0"", Moneda USD",FALSE,Title,Default Title,WS463710,shopify,0,continue,manual,4344.61,TRUE,TRUE,draft
