CAMPO,NIVEL,DESTINO EN SHOPIFY,QUIÉN LO LLENA,REGLA / FORMATO,"EJEMPLO — Refrigerador 36"" acero inoxidable con máquina de hielo"
— BLOQUE A · IDENTIFICACIÓN —,,,,,
SKU_MODELO,OBLIGATORIO,Variant SKU,Equipo,"Clave del fabricante, tal cual. Única. Sin espacios ni guiones inventados.",CL3650SD/S/T
CLAVE_SAE,OBLIGATORIO,Metafield custom.clave_sae,Equipo,Clave con la que el producto vive en SAE. Es el puente pedido↔facturación.,SUB-CL3650
MARCA,OBLIGATORIO,Vendor,Equipo,Nombre exacto de la marca como aparece en la página de Marcas.,Sub-Zero
EAN_UPC,OPCIONAL,Variant Barcode,Equipo,Solo si el proveedor lo da.,
— BLOQUE B · CLASIFICACIÓN (define dónde aparece en el menú) —,,,,,
MACROCATEGORIA,OBLIGATORIO,Tag + colección madre,Equipo,Una sola. De las 11 del mega-menú.,Cocina y Bar
SUBCATEGORIA_1,OBLIGATORIO,Tag + colección,Equipo,Una sola. Nivel 1 de la taxonomía.,Refrigeración
TIPO,OBLIGATORIO,Product Type + colección hija,Equipo,UNO SOLO (regla anti-duplicados). Nivel 2 de la taxonomía.,Refrigeradores
CATEGORIA_SHOPIFY,OBLIGATORIO,Product Category (taxonomía estándar),Yo,La asigno yo desde el TIPO; el equipo solo confirma. Sirve para Google Shopping y metafields automáticos.,Home & Garden > Kitchen & Dining > Kitchen Appliances > Refrigerators
SERIE_COLECCION,IMPORTANTE,Metafield specs.serie + tag,Equipo,Serie/línea de la marca. Es filtro en el sitio.,Classic
GAMA,OBLIGATORIO,Metafield facetas.gama,Yo,Sale de TABLA-MARCA-GAMA (por marca). Premium / Media / Residencial / Económica.,Premium
TAGS_EXTRA,OPCIONAL,Tags,Equipo,"Solo cruces especiales, formato faceta:valor. Ej: agua-filtrada, refaccion, requiere-kit, outlet.",requiere-kit
— BLOQUE C · CONTENIDO —,,,,,
TITULO,OBLIGATORIO,Title,Yo (equipo valida),"Reglas GUIA-TITULOS: [Tipo][Instalación][rasgo clave][configuración][medida]. SIN marca. Pulgadas con "". Title Case. Apertura Izquierda/Derecha (nunca 'bisagra'). Sin SKU.","Refrigerador de Piso Side-by-Side con Máquina de Hielo y Despachador 36"""
GANCHO_1_FRASE,OBLIGATORIO,Metafield homea.lead,Equipo,"Una frase, máx. 160 caracteres, comercial, sin adjetivos vacíos. Es lo primero que se lee en la ficha.","Dos compresores independientes y máquina de hielo integrada, tras un frente de acero inoxidable de 36""."
DESCRIPCION_LARGA,OBLIGATORIO,Body (HTML),Equipo,Párrafo comercial + bullets + medidas. SÍ menciona marca y serie. Incluye requisitos de instalación. Semilla: descripción larga de SAE + PDF de la marca.,Refrigerador Sub-Zero de la Serie Classic... (3-5 párrafos)
DESTACADOS_5,OBLIGATORIO,Metafield specs.destacados,Equipo,"Exactamente 5 bullets, uno por línea (o separados por |). Beneficio, no spec cruda.",Máquina de hielo integrada en el congelador | Doble sistema de refrigeración... 
TABLA_SPECS,OBLIGATORIO,Metafield specs.tabla,Equipo,"Pares Concepto = Dato, separados por punto y coma. Mínimo: Serie, Modelo, Tipo, Ancho, Dimensiones, Nicho, Capacidad, Instalación, Eléctrico, Certificaciones, Incluye.","Serie = Classic; Modelo = CL3650SD/S/T; Ancho nominal = 36"" (91.4 cm); ..."
REQUISITOS_INSTALACION,OBLIGATORIO,Body (HTML) + tag requiere-kit,Equipo,"Kits, paneles, jaladeras, ducto, voltaje, toma de agua. Si requiere algo para funcionar, va aquí SIEMPRE.","Requiere toma de agua de 1/4""; jaladera y zoclo se venden por separado."
SKUS_COMPLEMENTARIOS,IMPORTANTE,Metafield complementary_products,Equipo,"SKUs separados por coma. Kits obligatorios, paneles, jaladeras, filtros de agua de repuesto.","7042287, 7025216"
SEO_TITULO,OPCIONAL,SEO title,Yo,Lo genero del título + marca + medida si el equipo no lo pone.,
SEO_DESCRIPCION,OPCIONAL,SEO description,Yo,Lo genero del gancho.,
— BLOQUE D · MULTIMEDIA —,,,,,
IMAGEN_PRINCIPAL,OBLIGATORIO,Media (posición 1),Equipo,"Packshot del producto, fondo blanco o transparente, mín. 2000px. Nombre de archivo descriptivo en español-SEO, sin acentos, con guiones.",refrigerador-sub-zero-classic-36-acero-inoxidable-maquina-hielo.png
